"NCBI RefSeq Annotation GCF_000001405.40-RS_2024_08"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000011.10,75675,76181,WBP1LP10,plus,106480326,WBP1L pseudogene 10
NC_000011.10,86649,87586,OR4F2P,minus,390028,olfactory receptor family 4 subfamily F member 2 pseudogene
NC_000011.10,118846,121428,SEPTIN14P11,minus,107105353,septin 14 pseudogene 11
NC_000011.10,123272,127050,CICP23,plus,100505953,capicua transcriptional repressor pseudogene 23
NC_000011.10,127134,139117,LINC01001,minus,100133161,long intergenic non-protein coding RNA 1001
NC_000011.10,148743,170433,LOC112268070,minus,112268070,uncharacterized LOC112268070
NC_000011.10,152999,153102,RNU6-447P,minus,106481320,"RNA, U6 small nuclear 447, pseudogene"
NC_000011.10,172486,175007,LOC101930129,minus,101930129,uncharacterized LOC101930129
NC_000011.10,188050,194575,SCGB1C1,plus,147199,secretoglobin family 1C member 1
NC_000011.10,196761,200258,CIMAP1A,plus,113746,ciliary microtubule associated protein 1A
NC_000011.10,202924,207399,BET1L,minus,51272,Bet1 golgi vesicular membrane trafficking protein like
NC_000011.10,207708,215113,RIC8A,plus,60626,RIC8 guanine nucleotide exchange factor A
NC_000011.10,209336,209406,MIR6743,plus,102465445,microRNA 6743
NC_000011.10,215030,236931,SIRT3,minus,23410,sirtuin 3
NC_000011.10,236976,252984,PSMD13,plus,5719,"proteasome 26S subunit, non-ATPase 13"
NC_000011.10,242391,243689,LOC100420679,minus,100420679,signal recognition particle 19kDa pseudogene
NC_000011.10,253417,256972,COX8BP,minus,404544,"cytochrome c oxidase subunit 8B, pseudogene"
NC_000011.10,278407,285388,NLRP6,plus,171389,NLR family pyrin domain containing 6
NC_000011.10,289126,296107,PGGHG,plus,80162,protein-glucosylgalactosylhydroxylysine glucosidase
NC_000011.10,298200,299526,IFITM5,minus,387733,interferon induced transmembrane protein 5
NC_000011.10,303710,304376,MRPS24P1,minus,338389,mitochondrial ribosomal protein S24 pseudogene 1
NC_000011.10,307816,309395,IFITM2,plus,10581,interferon induced transmembrane protein 2
NC_000011.10,314040,315272,IFITM1,plus,8519,interferon induced transmembrane protein 1
NC_000011.10,318460,333689,LOC105376505,plus,105376505,uncharacterized LOC105376505
NC_000011.10,319676,320860,IFITM3,minus,10410,interferon induced transmembrane protein 3
NC_000011.10,369499,382117,B4GALNT4,plus,338707,"beta-1,4-N-acetyl-galactosaminyltransferase 4"
NC_000011.10,392596,404908,PKP3,plus,11187,plakophilin 3
NC_000011.10,405716,417397,SIGIRR,minus,59307,single Ig and TIR domain containing
NC_000011.10,417938,442011,ANO9,minus,338440,anoctamin 9
NC_000011.10,431824,440673,LOC105376506,plus,105376506,uncharacterized LOC105376506
NC_000011.10,440399,440693,RN7SL838P,minus,106479527,"RNA, 7SL, cytoplasmic 838, pseudogene"
NC_000011.10,448268,491399,PTDSS2,plus,81490,phosphatidylserine synthase 2
NC_000011.10,494515,507242,RNH1,minus,6050,ribonuclease/angiogenin inhibitor 1
NC_000011.10,506462,554912,LRRC56,plus,115399,leucine rich repeat containing 56
NC_000011.10,532242,535576,HRAS,minus,3265,"HRas proto-oncogene, GTPase"
NC_000011.10,554850,560738,LMNTD2,minus,256329,lamin tail domain containing 2
NC_000011.10,559262,560107,LMNTD2-AS1,plus,692247,LMNTD2 antisense RNA 1
NC_000011.10,560970,564025,RASSF7,plus,8045,Ras association domain family member 7
NC_000011.10,565657,568457,MIR210HG,minus,100506211,MIR210 host gene
NC_000011.10,568089,568198,MIR210,minus,406992,microRNA 210
NC_000011.10,571594,576596,LOC124902805,plus,124902805,translation initiation factor IF-2-like
NC_000011.10,573808,575885,LOC143666,minus,143666,uncharacterized LOC143666
NC_000011.10,576470,612222,PHRF1,plus,57661,PHD and ring finger domains 1
NC_000011.10,612555,615950,IRF7,minus,3665,interferon regulatory factor 7
NC_000011.10,616583,624955,CDHR5,minus,53841,cadherin related family member 5
NC_000011.10,626309,627181,SCT,minus,6343,secretin
NC_000011.10,637269,640706,DRD4,plus,1815,dopamine receptor D4
NC_000011.10,644220,707083,DEAF1,minus,10522,DEAF1 transcription factor
NC_000011.10,655023,659104,LOC124902603,plus,124902603,uncharacterized LOC124902603
NC_000011.10,695639,705028,TMEM80,plus,283232,transmembrane protein 80
NC_000011.10,706231,727727,EPS8L2,plus,64787,EPS8 signaling adaptor L2
NC_000011.10,736524,746962,LOC105376509,plus,105376509,uncharacterized LOC105376509
NC_000011.10,747464,765012,TALDO1,plus,6888,transaldolase 1
NC_000011.10,767222,777487,GATD1,minus,347862,glutamine amidotransferase class 1 domain containing 1
NC_000011.10,777578,784297,GATD1-DT,plus,171391,GATD1 divergent transcript
NC_000011.10,777578,781635,LOC124900301,plus,124900301,uncharacterized LOC124900301
NC_000011.10,787115,790090,CEND1,minus,51286,cell cycle exit and neuronal differentiation 1
NC_000011.10,790475,798281,SLC25A22,minus,79751,solute carrier family 25 member 22
NC_000011.10,797626,799192,PANO1,plus,101927423,proapoptotic nucleolar protein 1
NC_000011.10,799184,809501,PIDD1,minus,55367,p53-induced death domain protein 1
NC_000011.10,809967,812876,RPLP2,plus,6181,ribosomal protein lateral stalk subunit P2
NC_000011.10,811681,811814,SNORA52,plus,619565,"small nucleolar RNA, H/ACA box 52"
NC_000011.10,818914,825573,PNPLA2,plus,57104,patatin like phospholipase domain containing 2
NC_000011.10,826157,831991,CRACR2B,plus,283229,calcium release activated channel regulator 2B
NC_000011.10,832952,838831,CD151,plus,977,CD151 molecule (Raph blood group)
NC_000011.10,839721,842529,POLR2L,minus,5441,"RNA polymerase II, I and III subunit L"
NC_000011.10,842852,867111,TSPAN4,plus,7106,tetraspanin 4
NC_000011.10,867859,915214,CHID1,minus,66005,chitinase domain containing 1
NC_000011.10,880874,881874,LOC124902604,minus,124902604,extensin-like
NC_000011.10,925870,1012240,AP2A2,plus,161,adaptor related protein complex 2 subunit alpha 2
NC_000011.10,948421,948524,RNU6-1025P,plus,106480018,"RNA, U6 small nuclear 1025, pseudogene"
NC_000011.10,1012823,1036718,MUC6,minus,4588,"mucin 6, oligomeric mucus/gel-forming"
NC_000011.10,1049692,1058344,LOC124902605,plus,124902605,uncharacterized LOC124902605
NC_000011.10,1049880,1055764,LINC02688,plus,101927503,long intergenic non-protein coding RNA 2688
NC_000011.10,1060332,1073434,LOC107987157,minus,107987157,uncharacterized LOC107987157
NC_000011.10,1074874,1110508,MUC2,plus,4583,"mucin 2, oligomeric mucus/gel-forming"
NC_000011.10,1157953,1201138,MUC5AC,plus,4586,"mucin 5AC, oligomeric mucus/gel-forming"
NC_000011.10,1223066,1262172,MUC5B,plus,727897,"mucin 5B, oligomeric mucus/gel-forming"
NC_000011.10,1242261,1249676,MUC5B-AS1,minus,112577518,MUC5B antisense RNA 1
NC_000011.10,1256605,1256670,MIR6744,plus,102466725,microRNA 6744
NC_000011.10,1274371,1309632,TOLLIP,minus,54472,toll interacting protein
NC_000011.10,1309708,1310707,TOLLIP-DT,plus,255512,TOLLIP divergent transcript
NC_000011.10,1333233,1336697,LOC124902606,minus,124902606,uncharacterized LOC124902606
NC_000011.10,1350307,1365198,LINC02689,plus,105376513,long intergenic non-protein coding RNA 2689
NC_000011.10,1389934,1462689,BRSK2,plus,9024,BR serine/threonine kinase 2
NC_000011.10,1469448,1486779,MOB2,minus,81532,MOB kinase activator 2
NC_000011.10,1511759,1512643,LOC124902607,plus,124902607,uncharacterized LOC124902607
NC_000011.10,1554051,1572848,DUSP8,minus,1850,dual specificity phosphatase 8
NC_000011.10,1554607,1555480,LOC124902608,minus,124902608,uncharacterized LOC124902608
NC_000011.10,1572741,1599184,KRTAP5-AS1,plus,338651,KRTAP5-1/KRTAP5-2 antisense RNA 1
NC_000011.10,1584342,1585283,KRTAP5-1,minus,387264,keratin associated protein 5-1
NC_000011.10,1597177,1598294,KRTAP5-2,minus,440021,keratin associated protein 5-2
NC_000011.10,1607565,1608463,KRTAP5-3,minus,387266,keratin associated protein 5-3
NC_000011.10,1620958,1622138,KRTAP5-4,minus,387267,keratin associated protein 5-4
NC_000011.10,1629775,1630930,KRTAP5-5,plus,439915,keratin associated protein 5-5
NC_000011.10,1659829,1662272,LOC124902609,minus,124902609,uncharacterized LOC124902609
NC_000011.10,1665599,1667856,FAM99A,plus,387742,family with sequence similarity 99 member A
NC_000011.10,1683270,1685629,FAM99B,minus,100132464,family with sequence similarity 99 member B
NC_000011.10,1687630,1694740,LINC02708,plus,100505570,long intergenic non-protein coding RNA 2708
NC_000011.10,1697195,1697755,KRTAP5-6,plus,440023,keratin associated protein 5-6
NC_000011.10,1732406,1750595,IFITM10,minus,402778,interferon induced transmembrane protein 10
NC_000011.10,1752755,1763927,CTSD,minus,1509,cathepsin D
NC_000011.10,1760348,1762486,PRADX,plus,126568849,PRC2 and DDX5 associated lncRNA
NC_000011.10,1771366,1778580,LOC105376517,minus,105376517,uncharacterized LOC105376517
NC_000011.10,1778723,1804661,LOC124902610,plus,124902610,uncharacterized LOC124902610
NC_000011.10,1792525,1792925,RPL36AP39,plus,100271643,ribosomal protein L36a pseudogene 39
NC_000011.10,1802595,1804194,LOC390029,minus,390029,actin beta pseudogene
NC_000011.10,1831784,1837521,SYT8,plus,90019,synaptotagmin 8
NC_000011.10,1838981,1841678,TNNI2,plus,7136,"troponin I2, fast skeletal type"
NC_000011.10,1844337,1847747,LOC107984299,plus,107984299,uncharacterized LOC107984299
NC_000011.10,1853084,1892263,LSP1,plus,4046,lymphocyte specific protein 1
NC_000011.10,1859464,1859536,MIR4298,minus,100423021,microRNA 4298
NC_000011.10,1880045,1880147,MIR7847,plus,102465993,microRNA 7847
NC_000011.10,1887987,1917708,PRR33,minus,102724536,proline rich 33
NC_000011.10,1896759,1908359,LINC01150,plus,101927624,long intergenic non-protein coding RNA 1150
NC_000011.10,1919552,1938702,TNNT3,plus,7140,"troponin T3, fast skeletal type"
NC_000011.10,1947332,2014944,MRPL23,plus,6150,mitochondrial ribosomal protein L23
NC_000011.10,1949331,1949476,SNORD131,plus,106635549,"small nucleolar RNA, C/D box 131"
NC_000011.10,1983209,1989920,MRPL23-AS1,minus,100133545,MRPL23 antisense RNA 1
NC_000011.10,1991096,1993469,LINC01219,plus,104355220,long intergenic non-protein coding RNA 1219
NC_000011.10,1995176,2001266,H19,minus,283120,H19 imprinted maternally expressed transcript
NC_000011.10,1996759,1996831,MIR675,minus,100033819,microRNA 675
NC_000011.10,2129117,2161209,INS-IGF2,minus,723961,INS-IGF2 readthrough
NC_000011.10,2129117,2149566,IGF2,minus,3481,insulin like growth factor 2
NC_000011.10,2134134,2134209,MIR483,minus,619552,microRNA 483
NC_000011.10,2140512,2148666,IGF2-AS,plus,51214,IGF2 antisense RNA
NC_000011.10,2159779,2161209,INS,minus,3630,insulin
NC_000011.10,2163929,2171815,TH,minus,7054,tyrosine hydroxylase
NC_000011.10,2173063,2173138,MIR4686,plus,100616126,microRNA 4686
NC_000011.10,2268498,2270588,ASCL2,minus,430,achaete-scute family bHLH transcription factor 2
NC_000011.10,2295628,2303140,C11orf21,minus,29125,chromosome 11 open reading frame 21
NC_000011.10,2302013,2318204,TSPAN32,plus,10077,tetraspanin 32
NC_000011.10,2312465,2314487,LOC124902612,minus,124902612,uncharacterized LOC124902612
NC_000011.10,2321718,2321827,RNU6-878P,plus,106479954,"RNA, U6 small nuclear 878, pseudogene"
NC_000011.10,2328749,2377992,CD81-AS1,minus,101927682,CD81 antisense RNA 1
NC_000011.10,2335311,2335764,RPL26P30,minus,653147,ribosomal protein L26 pseudogene 30
NC_000011.10,2336133,2342094,LOC124902611,plus,124902611,uncharacterized LOC124902611
NC_000011.10,2371475,2375401,LOC105376520,minus,105376520,uncharacterized LOC105376520
NC_000011.10,2376180,2397397,CD81,plus,975,CD81 molecule
NC_000011.10,2400750,2403876,TSSC4,plus,10078,tumor suppressing subtransferable candidate 4
NC_000011.10,2403991,2444514,TRPM5,minus,29850,transient receptor potential cation channel subfamily M member 5
NC_000011.10,2445008,2849105,KCNQ1,plus,3784,potassium voltage-gated channel subfamily Q member 1
NC_000011.10,2509461,2511591,LOC124902613,minus,124902613,uncharacterized LOC124902613
NC_000011.10,2608328,2699994,KCNQ1OT1,minus,10984,KCNQ1 opposite strand/antisense transcript 1
NC_000011.10,2771356,2771577,COX6CP18,plus,106481684,cytochrome c oxidase subunit 6C pseudogene 18
NC_000011.10,2794095,2800124,LOC124902614,minus,124902614,uncharacterized LOC124902614
NC_000011.10,2840135,2861569,KCNQ1-AS1,minus,338653,KCNQ1 antisense RNA 1
NC_000011.10,2870033,2872105,KCNQ1DN,plus,55539,KCNQ1 downstream neighbor
NC_000011.10,2883218,2885775,CDKN1C,minus,1028,cyclin dependent kinase inhibitor 1C
NC_000011.10,2887344,2903575,SLC22A18AS,minus,5003,SLC22A18 antisense RNA
NC_000011.10,2899691,2925246,SLC22A18,plus,5002,solute carrier family 22 member 18
NC_000011.10,2928273,2929420,PHLDA2,minus,7262,pleckstrin homology like domain family A member 2
